id,country,ccode,year,region,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,participants_category,participants,protesteridentity
202016009,Canada,20,2016,North America,1,9,30,7,2016,30,7,2016,0,100-999,more than 500,black lives matter
202016010,Canada,20,2016,North America,1,10,13,10,2016,11,11,2016,0,100-999,busloads,indigenous residents
202017001,Canada,20,2017,North America,1,1,1,10,2017,26,10,2017,0,50-99,50,muslim council of montreal
202018001,Canada,20,2018,North America,1,1,9,2,2018,9,2,2018,0,100-999,widespread,indigenous
202018002,Canada,20,2018,North America,1,2,17,3,2018,25,3,2018,0,2000-4999,thousands,march for our lives
202019001,Canada,20,2019,North America,1,1,7,1,2019,8,1,2019,0,100-999,100,residents; activists
202019002,Canada,20,2019,North America,1,2,8,1,2019,8,1,2019,0,50-99,50,pro pipeline demonstrators
202019003,Canada,20,2019,North America,1,3,26,1,2019,26,1,2019,0,50-99,50,wet suwet en tribe
202019004,Canada,20,2019,North America,1,4,18,6,2019,18,6,2019,0,50-99,60,protesters
202019005,Canada,20,2019,North America,1,5,6,7,2019,6,7,2019,0,2000-4999,thousands,lgbt activists
202020001,Canada,20,2020,North America,1,1,10,2,2020,24,2,2020,0,50-99,50,indigineous tribes; mohawk tribe
401990000,Cuba,40,1990,North America,0,0,,,,,,,,,,
401991000,Cuba,40,1991,North America,0,0,,,,,,,,,,
401992000,Cuba,40,1992,North America,0,0,,,,,,,,,,
401993000,Cuba,40,1993,North America,0,0,,,,,,,,,,
401994001,Cuba,40,1994,North America,1,1,5,8,1994,5,8,1994,1,,1000,unspecified
401995000,Cuba,40,1995,North America,0,0,,,,,,,,,,
401996000,Cuba,40,1996,North America,0,0,,,,,,,,,,
401997000,Cuba,40,1997,North America,0,0,,,,,,,,,,
401998000,Cuba,40,1998,North America,0,0,,,,,,,,,,
401999001,Cuba,40,1999,North America,1,1,15,6,1999,15,6,1999,0,,50,cuban opposition activists
402000000,Cuba,40,2000,North America,0,0,,,,,,,,,,
402001000,Cuba,40,2001,North America,0,0,,,,,,,,,,
402002000,Cuba,40,2002,North America,0,0,,,,,,,,,,
402003000,Cuba,40,2003,North America,0,0,,,,,,,,,,
402004000,Cuba,40,2004,North America,0,0,,,,,,,,,,
402005000,Cuba,40,2005,North America,0,0,,,,,,,,,,
402006000,Cuba,40,2006,North America,0,0,,,,,,,,,,
402007000,Cuba,40,2007,North America,0,0,,,,,,,,,,
402008000,Cuba,40,2008,North America,0,0,,,,,,,,,,
402009000,Cuba,40,2009,North America,0,0,,,,,,,,,,
402010000,Cuba,40,2010,North America,0,0,,,,,,,,,,
402011000,Cuba,40,2011,North America,0,0,,,,,,,,,,
402012001,Cuba,40,2012,North America,1,1,24,7,2012,24,7,2012,0,,50,anti government activists
402013000,Cuba,40,2013,North America,0,0,,,,,,,,,,
402014001,Cuba,40,2014,North America,1,1,21,1,2014,21,1,2014,0,100-999,100+,artisans and vendors
402014002,Cuba,40,2014,North America,1,2,30,12,2014,30,12,2014,0,100-999,50+,protesters
402015001,Cuba,40,2015,North America,1,1,4,1,2015,4,1,2015,0,100-999,100+,ladies in white
402015002,Cuba,40,2015,North America,1,2,11,1,2015,11,1,2015,0,100-999,100+,ladies in white
402015003,Cuba,40,2015,North America,1,3,18,1,2015,18,1,2015,0,100-999,100+,ladies in white
402015004,Cuba,40,2015,North America,1,4,25,1,2015,25,1,2015,0,100-999,100+,ladies in white
402015005,Cuba,40,2015,North America,1,5,1,2,2015,1,2,2015,0,100-999,100+,ladies in white
402015006,Cuba,40,2015,North America,1,6,8,2,2015,8,2,2015,0,100-999,100+,ladies in white
402015007,Cuba,40,2015,North America,1,7,15,2,2015,15,2,2015,0,100-999,100+,ladies in white
402015008,Cuba,40,2015,North America,1,8,22,2,2015,22,2,2015,0,100-999,100+,ladies in white
402015009,Cuba,40,2015,North America,1,9,1,3,2015,1,3,2015,0,100-999,100+,ladies in white
402015010,Cuba,40,2015,North America,1,10,8,3,2015,8,3,2015,0,100-999,100+,ladies in white
402015011,Cuba,40,2015,North America,1,11,15,3,2015,15,3,2015,0,100-999,100+,ladies in white
402015012,Cuba,40,2015,North America,1,12,22,3,2015,22,3,2015,0,100-999,100+,ladies in white
402015013,Cuba,40,2015,North America,1,13,29,3,2015,29,3,2015,0,100-999,100+,ladies in white
402015014,Cuba,40,2015,North America,1,14,5,4,2015,5,4,2015,0,100-999,100+,ladies in white
402015015,Cuba,40,2015,North America,1,15,12,4,2015,12,4,2015,0,100-999,100+,ladies in white
402015016,Cuba,40,2015,North America,1,16,19,4,2015,19,4,2015,0,100-999,100+,ladies in white
402015017,Cuba,40,2015,North America,1,17,26,4,2015,26,4,2015,0,100-999,100+,ladies in white
402015018,Cuba,40,2015,North America,1,18,3,5,2015,3,5,2015,0,100-999,100+,ladies in white
402015019,Cuba,40,2015,North America,1,19,10,5,2015,10,5,2015,0,100-999,100+,ladies in white
402015020,Cuba,40,2015,North America,1,20,17,5,2015,17,5,2015,0,100-999,100+,ladies in white
402015021,Cuba,40,2015,North America,1,21,24,5,2015,24,5,2015,0,100-999,100+,ladies in white
402015022,Cuba,40,2015,North America,1,22,31,5,2015,31,5,2015,0,100-999,100+,ladies in white
402015023,Cuba,40,2015,North America,1,23,7,6,2015,7,6,2015,0,100-999,100+,ladies in white
402015024,Cuba,40,2015,North America,1,24,14,6,2015,14,6,2015,0,100-999,100+,ladies in white
402015025,Cuba,40,2015,North America,1,25,21,6,2015,21,6,2015,0,100-999,100+,ladies in white
402015026,Cuba,40,2015,North America,1,26,28,6,2015,28,6,2015,0,100-999,100+,ladies in white
402015027,Cuba,40,2015,North America,1,27,5,7,2015,5,7,2015,0,100-999,100+,ladies in white
402015028,Cuba,40,2015,North America,1,28,12,7,2015,12,7,2015,0,100-999,100+,ladies in white
402015029,Cuba,40,2015,North America,1,29,19,7,2015,19,7,2015,0,100-999,100+,ladies in white
402015030,Cuba,40,2015,North America,1,30,26,7,2015,26,7,2015,0,100-999,100+,ladies in white
402015031,Cuba,40,2015,North America,1,31,2,8,2015,2,8,2015,0,100-999,100+,ladies in white
402015032,Cuba,40,2015,North America,1,32,9,8,2015,9,8,2015,0,100-999,100+,ladies in white
402015033,Cuba,40,2015,North America,1,33,16,8,2015,16,8,2015,0,100-999,100+,ladies in white
402015034,Cuba,40,2015,North America,1,34,23,8,2015,23,8,2015,0,100-999,100+,ladies in white
402015035,Cuba,40,2015,North America,1,35,30,8,2015,30,8,2015,0,100-999,100+,ladies in white
402015036,Cuba,40,2015,North America,1,36,6,9,2015,6,9,2015,0,100-999,100+,ladies in white
402015037,Cuba,40,2015,North America,1,37,13,9,2015,13,9,2015,0,50-99,50+,protesters and ladies in white
402016001,Cuba,40,2016,North America,1,1,3,1,2016,3,1,2016,0,50-99,dozens,ladies in white
402016002,Cuba,40,2016,North America,1,2,10,1,2016,10,1,2016,0,50-99,dozens,ladies in white
402016003,Cuba,40,2016,North America,1,3,17,1,2016,17,1,2016,0,50-99,dozens,ladies in white
402016004,Cuba,40,2016,North America,1,4,24,1,2016,24,1,2016,0,50-99,dozens,ladies in white
402016005,Cuba,40,2016,North America,1,5,31,1,2016,31,1,2016,0,50-99,dozens,ladies in white
402016006,Cuba,40,2016,North America,1,6,7,2,2016,7,2,2016,0,50-99,dozens,ladies in white
402016007,Cuba,40,2016,North America,1,7,14,2,2016,14,2,2016,0,50-99,dozens,ladies in white
402016008,Cuba,40,2016,North America,1,8,21,2,2016,21,2,2016,0,50-99,dozens,ladies in white
402016009,Cuba,40,2016,North America,1,9,28,2,2016,28,2,2016,0,50-99,dozens,ladies in white
402016010,Cuba,40,2016,North America,1,10,6,3,2016,6,3,2016,0,50-99,dozens,ladies in white
402016011,Cuba,40,2016,North America,1,11,13,3,2016,13,3,2016,0,50-99,dozens,ladies in white
402016012,Cuba,40,2016,North America,1,12,20,3,2016,20,3,2016,0,50-99,dozens,ladies in white
402016013,Cuba,40,2016,North America,1,13,27,3,2016,27,3,2016,0,50-99,dozens,ladies in white
402016014,Cuba,40,2016,North America,1,14,3,4,2016,3,4,2016,0,50-99,dozens,ladies in white
402016015,Cuba,40,2016,North America,1,15,10,4,2016,10,4,2016,0,50-99,dozens,ladies in white
402016016,Cuba,40,2016,North America,1,16,17,4,2016,17,4,2016,0,50-99,dozens,ladies in white
402016017,Cuba,40,2016,North America,1,17,24,4,2016,24,4,2016,0,50-99,dozens,ladies in white
402016018,Cuba,40,2016,North America,1,18,1,5,2016,1,5,2016,0,50-99,dozens,ladies in white
402016019,Cuba,40,2016,North America,1,19,8,5,2016,8,5,2016,0,50-99,dozens,ladies in white
402016020,Cuba,40,2016,North America,1,20,15,5,2016,15,5,2016,0,50-99,dozens,ladies in white
402016021,Cuba,40,2016,North America,1,21,22,5,2016,22,5,2016,0,50-99,dozens,ladies in white
402016022,Cuba,40,2016,North America,1,22,29,5,2016,29,5,2016,0,50-99,dozens,ladies in white
402016023,Cuba,40,2016,North America,1,23,5,6,2016,5,6,2016,0,50-99,dozens,ladies in white
402016024,Cuba,40,2016,North America,1,24,12,6,2016,12,6,2016,0,50-99,dozens,ladies in white
402016025,Cuba,40,2016,North America,1,25,19,6,2016,19,6,2016,0,50-99,dozens,ladies in white
402016026,Cuba,40,2016,North America,1,26,26,6,2016,26,6,2016,0,50-99,dozens,ladies in white
402016027,Cuba,40,2016,North America,1,27,3,7,2016,3,7,2016,0,50-99,dozens,ladies in white
402016028,Cuba,40,2016,North America,1,28,10,7,2016,10,7,2016,0,50-99,dozens,ladies in white
402016029,Cuba,40,2016,North America,1,29,17,7,2016,17,7,2016,0,50-99,dozens,ladies in white
402016030,Cuba,40,2016,North America,1,30,24,7,2016,24,7,2016,0,50-99,dozens,ladies in white
402016031,Cuba,40,2016,North America,1,31,31,7,2016,31,7,2016,0,50-99,dozens,ladies in white
402016032,Cuba,40,2016,North America,1,32,7,8,2016,7,8,2016,0,50-99,dozens,ladies in white
402016033,Cuba,40,2016,North America,1,33,14,8,2016,14,8,2016,0,50-99,dozens,ladies in white
402016034,Cuba,40,2016,North America,1,34,21,8,2016,21,8,2016,0,50-99,dozens,ladies in white
402016035,Cuba,40,2016,North America,1,35,28,8,2016,28,8,2016,0,50-99,dozens,ladies in white
402016036,Cuba,40,2016,North America,1,36,4,9,2016,4,9,2016,0,50-99,dozens,ladies in white
402016037,Cuba,40,2016,North America,1,37,11,9,2016,11,9,2016,0,50-99,dozens,ladies in white
402016038,Cuba,40,2016,North America,1,38,18,9,2016,18,9,2016,0,50-99,dozens,ladies in white
402016039,Cuba,40,2016,North America,1,39,25,9,2016,25,9,2016,0,50-99,dozens,ladies in white
402016040,Cuba,40,2016,North America,1,40,2,10,2016,2,10,2016,0,50-99,dozens,ladies in white
402016041,Cuba,40,2016,North America,1,41,9,10,2016,9,10,2016,0,50-99,dozens,ladies in white
402016042,Cuba,40,2016,North America,1,42,16,10,2016,16,10,2016,0,50-99,dozens,ladies in white
402016043,Cuba,40,2016,North America,1,43,23,10,2016,23,10,2016,0,50-99,dozens,ladies in white
402016044,Cuba,40,2016,North America,1,44,30,10,2016,30,10,2016,0,50-99,dozens,ladies in white
402016045,Cuba,40,2016,North America,1,45,6,11,2016,6,11,2016,0,50-99,dozens,ladies in white
402016046,Cuba,40,2016,North America,1,46,13,11,2016,13,11,2016,0,50-99,dozens,ladies in white
402016047,Cuba,40,2016,North America,1,47,20,11,2016,20,11,2016,0,50-99,dozens,ladies in white
402016048,Cuba,40,2016,North America,1,48,27,11,2016,27,11,2016,0,50-99,dozens,ladies in white
402016049,Cuba,40,2016,North America,1,49,4,12,2016,4,12,2016,0,50-99,dozens,ladies in white
402016050,Cuba,40,2016,North America,1,50,11,12,2016,11,12,2016,0,50-99,dozens,ladies in white
402016051,Cuba,40,2016,North America,1,51,18,12,2016,18,12,2016,0,50-99,dozens,ladies in white
402016052,Cuba,40,2016,North America,1,52,19,12,2016,19,12,2016,0,50-99,dozens,dissidents opposition
402016053,Cuba,40,2016,North America,1,53,25,12,2016,25,12,2016,0,50-99,dozens,ladies in white
402017001,Cuba,40,2017,North America,1,1,1,1,2017,1,1,2017,0,50-99,dozens,ladies in white
402017002,Cuba,40,2017,North America,1,2,8,1,2017,8,1,2017,0,50-99,dozens,ladies in white
402018000,Cuba,40,2018,North America,0,0,,,,,,,,,,
402019001,Cuba,40,2019,North America,1,1,7,4,2019,7,4,2019,0,100-999,400,animal rights activists
402019002,Cuba,40,2019,North America,1,2,1,9,2019,1,9,2019,0,100-999,100,evangelicals
402020000,Cuba,40,2020,North America,0,0,,,,,,,,,,
411990001,Haiti,41,1990,North America,1,1,8,3,1990,11,3,1990,1,,1000s,students
411990002,Haiti,41,1990,North America,1,2,12,7,1990,12,7,1990,0,,1000s,political and labor leaders
411991001,Haiti,41,1991,North America,1,1,12,10,1991,12,10,1991,1,,1000s,supporters of jean bertrand aristide
411991002,Haiti,41,1991,North America,1,2,1,11,1991,1,11,1991,0,,300,youths in support of aristide
411991003,Haiti,41,1991,North America,1,3,12,11,1991,12,11,1991,0,,80,students
411992001,Haiti,41,1992,North America,1,1,24,2,1992,24,2,1992,0,,200,anti aristide demonstrators
411992002,Haiti,41,1992,North America,1,2,15,7,1992,15,7,1992,0,,200,students
411993001,Haiti,41,1993,North America,1,1,26,2,1993,26,2,1993,1,,2500,unspecified
411993002,Haiti,41,1993,North America,1,2,4,4,1993,4,4,1993,0,,300,roman catholic priests
411993003,Haiti,41,1993,North America,1,3,4,10,1993,4,10,1993,1,,150,unspecified
411993004,Haiti,41,1993,North America,1,4,9,10,1993,9,10,1993,1,,500,unspecified
411993005,Haiti,41,1993,North America,1,5,1,11,1993,1,11,1993,0,,200,supporters of right wing groups
411994001,Haiti,41,1994,North America,1,1,4,2,1994,4,2,1994,0,,2000,a far right paramilitary political group
411994002,Haiti,41,1994,North America,1,2,20,9,1994,20,9,1994,1,,1000s,aristide supporters
411994003,Haiti,41,1994,North America,1,3,24,9,1994,24,9,1994,0,,1000s,aristide supporters
411994004,Haiti,41,1994,North America,1,4,24,9,1994,24,9,1994,1,,10000,aristide supporters
411994005,Haiti,41,1994,North America,1,5,25,9,1994,25,9,1994,0,,100s,aristide supporters
411994006,Haiti,41,1994,North America,1,6,30,9,1994,30,9,1994,1,,1000s,aristide supporters
411994007,Haiti,41,1994,North America,1,7,9,10,1994,9,10,1994,0,,100s,aristide supporters
411994008,Haiti,41,1994,North America,1,8,9,10,1994,9,10,1994,0,,100s,aristide supporters
411994009,Haiti,41,1994,North America,1,9,11,11,1994,11,11,1994,1,,2000,students
411994010,Haiti,41,1994,North America,1,10,26,12,1994,26,12,1994,1,,80,former soldiers
411995001,Haiti,41,1995,North America,1,1,25,6,1995,25,6,1995,0,,100s,residents
411995002,Haiti,41,1995,North America,1,2,23,11,1995,23,11,1995,1,,50,residents of cite soleil
411996001,Haiti,41,1996,North America,1,1,30,9,1996,30,9,1996,0,,100s,aristide supporters
411997001,Haiti,41,1997,North America,1,1,16,1,1997,16,1,1997,1,,100s-1000s,grass roots groups
411997002,Haiti,41,1997,North America,1,2,23,2,1997,23,2,1997,1,,50,unspecified
411997003,Haiti,41,1997,North America,1,3,16,5,1997,17,5,1997,1,,100s,students
411997004,Haiti,41,1997,North America,1,4,10,9,1997,11,9,1997,0,,100s,families of victims
411998001,Haiti,41,1998,North America,1,1,5,2,1998,5,2,1998,1,,300,grass roots group called put order into the disorder
411998002,Haiti,41,1998,North America,1,2,6,8,1998,6,8,1998,1,,50,unspecified
411998003,Haiti,41,1998,North America,1,3,19,10,1998,19,10,1998,1,,400,students and teachers
411999001,Haiti,41,1999,North America,1,1,11,1,1999,11,1,1999,1,,100s,aristide supporters
411999002,Haiti,41,1999,North America,1,2,1,3,1999,2,3,1999,1,,100s,students
411999003,Haiti,41,1999,North America,1,3,21,4,1999,6,5,1999,1,,100s,unspecified
411999004,Haiti,41,1999,North America,1,4,25,5,1999,25,5,1999,0,,500,local residents
411999005,Haiti,41,1999,North America,1,5,12,6,1999,12,6,1999,1,,100s,unspecified
411999006,Haiti,41,1999,North America,1,6,5,8,1999,6,8,1999,1,,100s,aristide supporters
412000001,Haiti,41,2000,North America,1,1,4,2,2000,4,2,2000,1,,50,unspecified
412000002,Haiti,41,2000,North America,1,2,27,3,2000,27,3,2000,1,,100s,unspecified
412000003,Haiti,41,2000,North America,1,3,8,4,2000,8,4,2000,1,,100,aristide supporters
412000004,Haiti,41,2000,North America,1,4,17,6,2000,19,6,2000,1,,100s,aristide supporters
412001001,Haiti,41,2001,North America,1,1,1,2,2001,1,2,2001,0,,1000,convergence political opposition group
412002001,Haiti,41,2002,North America,1,1,6,8,2002,8,8,2002,1,,1000s,anti aristide demonstrators
412002002,Haiti,41,2002,North America,1,2,17,11,2002,17,11,2002,0,,8000,opposition politicians and former army officers
412002003,Haiti,41,2002,North America,1,3,27,11,2002,27,11,2002,0,,1000s,students
412002004,Haiti,41,2002,North America,1,4,4,12,2002,4,12,2002,1,,1000s,convergence democratique opposition political movement
412003001,Haiti,41,2003,North America,1,1,23,9,2003,14,10,2003,1,,100s-1000,opposition politicians
412003002,Haiti,41,2003,North America,1,2,11,12,2003,16,12,2003,0,,300-1000s,students
412004001,Haiti,41,2004,North America,1,1,7,1,2004,7,1,2004,1,,1000s,anti aristide demonstrators
412004002,Haiti,41,2004,North America,1,2,18,1,2004,18,1,2004,0,,4000,anti aristide demonstrators
412004003,Haiti,41,2004,North America,1,3,27,1,2004,27,1,2004,0,,15000,anti aristide demonstrators
412004004,Haiti,41,2004,North America,1,4,1,2,2004,1,2,2004,0,,10000s,anti aristide demonstrators
412004005,Haiti,41,2004,North America,1,5,7,3,2004,7,3,2004,0,,1000s,unspecified
412004006,Haiti,41,2004,North America,1,6,8,3,2004,8,3,2004,0,,100s,aristide supporters
412004007,Haiti,41,2004,North America,1,7,19,5,2004,19,5,2004,0,,10000,aristide supporters
412004008,Haiti,41,2004,North America,1,8,30,9,2004,30,9,2004,1,,1000s,aristide supporters
412005001,Haiti,41,2005,North America,1,1,28,2,2005,28,2,2005,0,,2000,aristide supporters
412005002,Haiti,41,2005,North America,1,2,4,3,2005,4,3,2005,0,,1000s,aristide supporters
412006001,Haiti,41,2006,North America,1,1,12,1,2006,12,1,2006,0,,100s,unspecified
412006002,Haiti,41,2006,North America,1,2,13,2,2006,14,2,2006,1,,10000s,preval supporters
412006003,Haiti,41,2006,North America,1,3,15,7,2006,15,7,2006,0,,1000s,aristide supporters
412006004,Haiti,41,2006,North America,1,4,1,9,2006,1,9,2006,0,,150,rape victims
412007001,Haiti,41,2007,North America,1,1,30,3,2007,30,3,2007,0,,2000,unspecified
412008001,Haiti,41,2008,North America,1,1,3,4,2008,3,4,2008,1,,50,unspecified
412008002,Haiti,41,2008,North America,1,2,8,4,2008,9,4,2008,1,,10000s,unspecified
412008003,Haiti,41,2008,North America,1,3,25,8,2008,25,8,2008,0,,100s,unspecified
412009000,Haiti,41,2009,North America,0,0,,,,,,,,,,
412010001,Haiti,41,2010,North America,1,1,15,11,2010,15,11,2010,1,,100s,unspecified
412010002,Haiti,41,2010,North America,1,2,18,11,2010,18,11,2010,1,,1000s,unspecified
412010003,Haiti,41,2010,North America,1,3,28,11,2010,29,11,2010,0,,100s,opposition candidates
412010004,Haiti,41,2010,North America,1,4,7,12,2010,9,12,2010,1,,1000s,supporters of opposition candidates
412011001,Haiti,41,2011,North America,1,1,7,2,2011,7,2,2011,0,,200,unspecified
412011002,Haiti,41,2011,North America,1,2,15,9,2011,15,9,2011,0,,300,unspecified
412012001,Haiti,41,2012,North America,1,1,1,3,2012,1,3,2012,0,,1000s,aristide supporters
412012002,Haiti,41,2012,North America,1,2,19,5,2012,20,5,2012,0,,100s,former and would be soldiers
412012003,Haiti,41,2012,North America,1,3,26,6,2012,26,6,2012,0,,1000,unspecified
412013001,Haiti,41,2013,North America,1,1,19,7,2013,19,7,2013,0,,1000,haitian coalition of religious and moral organizations
412013002,Haiti,41,2013,North America,1,2,30,9,2013,30,9,2013,0,,1000s,unspecified
412013003,Haiti,41,2013,North America,1,3,17,10,2013,17,10,2013,0,,1000s,aristide supporters and opposition lawmakers
412013004,Haiti,41,2013,North America,1,4,4,11,2013,4,11,2013,1,,100,university students
412013005,Haiti,41,2013,North America,1,5,7,11,2013,7,11,2013,1,,1000s,unspecified
412013006,Haiti,41,2013,North America,1,6,18,11,2013,18,11,2013,0,,1000s,unspecified
412013007,Haiti,41,2013,North America,1,7,29,11,2013,29,11,2013,0,,600,opposition leader maryse narcisse
412014001,Haiti,41,2014,North America,1,1,4,2,2014,4,2,2014,1,100-999,100s,protesters
412014002,Haiti,41,2014,North America,1,2,27,2,2014,27,2,2014,0,2000-4999,2000,supporters of former president jean bertrand aristide
412014003,Haiti,41,2014,North America,1,3,29,3,2014,29,3,2014,0,2000-4999,1000s,protesters
412014004,Haiti,41,2014,North America,1,4,14,5,2014,14,5,2014,1,1000-1999,1500+,protesters
412014005,Haiti,41,2014,North America,1,5,26,10,2014,26,10,2014,0,2000-4999,1000s,protesters
412014006,Haiti,41,2014,North America,1,6,5,12,2014,5,12,2014,1,2000-4999,1000s,protesters
412014007,Haiti,41,2014,North America,1,7,6,12,2014,6,12,2014,1,2000-4999,1000s,protesters
412014008,Haiti,41,2014,North America,1,8,12,12,2014,12,12,2014,0,100-999,50+,protesters
412014009,Haiti,41,2014,North America,1,9,13,12,2014,13,12,2014,1,2000-4999,1000s,protesters
412015001,Haiti,41,2015,North America,1,1,10,1,2015,10,1,2015,1,1000-1999,1500,protesters
412015002,Haiti,41,2015,North America,1,2,15,1,2015,15,1,2015,0,2000-4999,4000,protesters
412015003,Haiti,41,2015,North America,1,3,7,2,2015,7,2,2015,1,2000-4999,1000s,protesters
412015004,Haiti,41,2015,North America,1,4,20,11,2015,20,11,2015,1,2000-4999,1000s,protesters
412015005,Haiti,41,2015,North America,1,5,19,12,2015,19,12,2015,1,50-99,50+,protesters
412016001,Haiti,41,2016,North America,1,1,18,1,2016,5,2,2016,1,2000-4999,about 2000,protesters
412016002,Haiti,41,2016,North America,1,2,1,4,2016,1,4,2016,0,100-999,hundreds,women; disabled
412016003,Haiti,41,2016,North America,1,3,9,6,2016,9,6,2016,0,100-999,hundreds,women; disabled
412017001,Haiti,41,2017,North America,1,1,19,5,2017,19,5,2017,0,5000-10000,thousands,workers
412017002,Haiti,41,2017,North America,1,2,29,5,2017,29,5,2017,0,100-999,500,workers
412018001,Haiti,41,2018,North America,1,1,28,3,2018,28,3,2018,0,100-999,hundreds,journalists
412018002,Haiti,41,2018,North America,1,2,6,7,2018,7,7,2018,1,100-999,several hundred,protesters
412018003,Haiti,41,2018,North America,1,3,17,10,2018,17,10,2018,1,>10000,tens of thousands,protesters
412018004,Haiti,41,2018,North America,1,4,18,11,2018,18,11,2018,1,5000-10000,thousands,protesters
412018005,Haiti,41,2018,North America,1,5,23,11,2018,23,11,2018,1,5000-10000,thousands,protesters
412019001,Haiti,41,2019,North America,1,1,7,2,2019,9,2,2019,1,5000-10000,thousands,protesters
412019002,Haiti,41,2019,North America,1,2,10,2,2019,10,2,2019,1,100-999,hundreds,protesters
